category,language,source_url,local_path,size_bytes
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2422047_BI/Jewellers (Licensing) Act 1917 Act 857.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Jewellers (Licensing) Act 1917 Act 857.pdf",379836
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2368185_BI/Act 856.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 856.pdf",229397
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2368185_BM/Akta 856.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 856.pdf",229557
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2241197_BM/Akta 855 BM cover depan.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 855 BM cover depan.pdf",160512
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2241197_BI/Act 855- Preservation of Public Security (Sarawak) Act 1962 (BI).pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 855- Preservation of Public Security (Sarawak) Act 1962 (BI).pdf",261657
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2177706_BM/Akta 854.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 854.pdf",388018
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2177706_BI/Act 854.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 854.pdf",485588
"updated","EN","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2138116_BI/Act 853.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\EN\Act 853.pdf",390463
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/2138116_BM/Akta 853.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\Akta 853.pdf",298064
"updated","MS","https://lom.agc.gov.my/ilims/upload/portal/akta/outputaktap/1998006_BM/WJW240100 BM.pdf","C:\Users\huiyee\OneDrive\Documents\claude\playground\malaysia_law\pdfs\updated\MS\WJW240100 BM.pdf",368252
